,0
1074,CTRN
1075,CTRP
1076,CTRV
1077,CTSH
1078,CTSO
1079,CTWS
1080,CTXR
1081,CTXRW
1082,CTXS
1083,CUBA
1084,CUE
1085,CUI
1086,CUR
1087,CUTR
1088,CVBF
1089,CVCO
1090,CVCY
1091,CVGI
1092,CVGW
1093,CVLT
1094,CVLY
1095,CVON
1096,CVTI
1097,CVV
1098,CWAY
1099,CWBC
1100,CWBR
1101,CWCO
1102,CWST
1103,CXDC
1104,CXSE
1105,CY
1106,CYAD
1107,CYAN
1108,CYBE
1109,CYBR
1110,CYCC
1111,CYCCP
1112,CYHHZ
1113,CYOU
1114,CYRN
1115,CYRX
1116,CYRXW
1117,CYTK
1118,CYTR
1119,CYTX
1120,CYTXW
1121,CYTXZ
1122,CZFC
1123,CZNC
1124,CZR
1125,CZWI
1126,DAIO
1127,DAKT
1128,DALI
1129,DARE
1130,DAVE
1131,DAX
1132,DBVT
1133,DBX
1134,DCAR
1135,DCIX
1136,DCOM
1137,DCPH
1138,DDBI
1139,DELT
1140,DENN
1141,DEPO
1142,DERM
1143,DEST
1144,DFBG
1145,DFBH
1146,DFBHU
1147,DFBHW
1148,DFFN
1149,DFNL
1150,DFRG
1151,DFVL
1152,DFVS
1153,DGICA
1154,DGICB
1155,DGII
1156,DGLD
1157,DGLY
1158,DGRE
1159,DGRS
1160,DGRW
1161,DHIL
1162,DHXM
1163,DINT
1164,DIOD
1165,DISCA
1166,DISCB
1167,DISCK
1168,DISH
1169,DJCO
1170,DLBL
1171,DLBS
1172,DLHC
1173,DLPN
1174,DLPNW
1175,DLTH
1176,DLTR
1177,DMLP
1178,DMPI
1179,DMRC
1180,DNBF
1181,DNJR
1182,DNKN
1183,DNLI
1184,DOCU
1185,DOGZ
1186,DOMO
1187,DORM
1188,DOTA
1189,DOTAR
1190,DOTAU
1191,DOTAW
1192,DOVA
1193,DOX
1194,DRAD
1195,DRIO
1196,DRIOW
1197,DRIV
1198,DRNA
1199,DRRX
1200,DRYS
1201,DSGX
1202,DSKE
1203,DSKEW
1204,DSLV
1205,DSPG
1206,DSWL
1207,DTEA
1208,DTRM
1209,DTUL
1210,DTUS
1211,DTYL
1212,DTYS
1213,DUSA
1214,DVAX
1215,DVCR
1216,DVY
1217,DWAQ
1218,DWAS
1219,DWAT
1220,DWCH
1221,DWCR
1222,DWFI
1223,DWIN
1224,DWLD
1225,DWLV
1226,DWMC
1227,DWPP
1228,DWSH
1229,DWSN
1230,DWTR
1231,DXCM
1232,DXGE
1233,DXJS
1234,DXLG
1235,DXPE
1236,DXYN
1237,DYNT
1238,DYSL
1239,DZSI
1240,EA
1241,EACQ
1242,EACQU
1243,EACQW
1244,EAGL
1245,EAGLU
1246,EAGLW
1247,EARS
1248,EAST
1249,EASTW
1250,EBAY
1251,EBAYL
1252,EBIX
1253,EBMT
1254,EBSB
1255,EBTC
1256,ECHO
1257,ECOL
1258,ECOR
1259,ECPG
1260,ECYT
1261,EDAP
1262,EDBI
1263,EDGE
1264,EDGW
1265,EDIT
1266,EDRY
1267,EDUC
1268,EEFT
1269,EEI
1270,EEMA
1271,EFAS
1272,EFBI
1273,EFII
1274,EFOI
1275,EFSC
1276,EGAN
1277,EGBN
1278,EGC
1279,EGHT
1280,EGLE
1281,EGLT
1282,EGOV
1283,EGRX
1284,EHTH
1285,EIDX
1286,EIGI
1287,EIGR
1288,EKSO
1289,ELGX
1290,ELON
1291,ELOX
1292,ELSE
1293,ELTK
1294,EMB
1295,EMCB
1296,EMCF
1297,EMCG
1298,EMCI
1299,EMIF
1300,EMITF
1301,EMKR
1302,EML
1303,EMMS
1304,EMXC
1305,ENDP
1306,ENFC
1307,ENG
1308,ENPH
1309,ENSG
1310,ENT
1311,ENTA
1312,ENTG
1313,ENTX
1314,ENTXW
1315,ENZL
1316,EOLS
1317,EPAY
1318,EPIX
1319,EPZM
1320,EQBK
1321,EQFN
1322,EQIX
1323,EQRR
1324,ERI
1325,ERIC
1326,ERIE
1327,ERII
1328,ERYP
1329,ESBK
1330,ESCA
1331,ESEA
1332,ESES
1333,ESG
1334,ESGD
1335,ESGE
1336,ESGG
1337,ESGR
1338,ESGRP
1339,ESGU
1340,ESIO
1341,ESLT
1342,ESND
1343,ESPR
1344,ESQ
1345,ESRX
1346,ESSA
1347,ESTR
1348,ESTRW
1349,ESXB
1350,ETFC
1351,ETSY
1352,EUFN
1353,EVBG
1354,EVER
1355,EVFM
1356,EVFTC
1357,EVGBC
1358,EVGN
1359,EVK
1360,EVLMC
1361,EVLO
1362,EVLV
1363,EVOK
1364,EVOL
1365,EVOP
1366,EVSTC
1367,EWBC
1368,EWZS
1369,EXAS
1370,EXEL
1371,EXFO
1372,EXLS
1373,EXPD
1374,EXPE
1375,EXPI
1376,EXPO
1377,EXTR
1378,EYE
1379,EYEG
1380,EYEGW
1381,EYEN
1382,EYES
1383,EYESW
1384,EYPT
1385,EZPW
1386,FAAR
1387,FAB
1388,FAD
1389,FALN
1390,FAMI
1391,FANG
1392,FANH
1393,FARM
1394,FARO
1395,FAST
1396,FAT
1397,FATE
1398,FB
1399,FBIO
1400,FBIOP
1401,FBIZ
1402,FBMS
1403,FBNC
1404,FBNK
1405,FBSS
1406,FBZ
1407,FCA
1408,FCAL
1409,FCAN
1410,FCAP
1411,FCBC
1412,FCBP
1413,FCCO
1414,FCCY
1415,FCEF
1416,FCEL
1417,FCFS
1418,FCNCA
1419,FCSC
1420,FCVT
1421,FDBC
1422,FDEF
1423,FDIV
1424,FDT
1425,FDTS
1426,FDUS
1427,FDUSL
1428,FEIM
1429,FELE
1430,FEM
1431,FEMB
1432,FEMS
1433,FENC
1434,FEP
1435,FEUZ
1436,FEX
1437,FEYE
1438,FFBC
1439,FFBCW
1440,FFBW
1441,FFHL
1442,FFIC
1443,FFIN
1444,FFIV
1445,FFKT
1446,FFNW
1447,FFWM
1448,FGBI
1449,FGEN
1450,FGM
1451,FHB
1452,FHK
1453,FIBK
1454,FINX
1455,FISI
1456,FISV
1457,FITB
1458,FITBI
1459,FIVE
1460,FIVN
1461,FIXD
1462,FIXX
1463,FIZZ
1464,FJP
1465,FKO
1466,FKU
1467,FLAG
1468,FLAT
1469,FLDM
1470,FLEX
1471,FLGT
1472,FLIC
1473,FLIR
1474,FLKS
1475,FLL
1476,FLN
1477,FLNT
1478,FLWS
1479,FLXN
1480,FLXS
1481,FMAO
1482,FMB
1483,FMBH
1484,FMBI
1485,FMHI
1486,FMI
1487,FMK
1488,FMNB
1489,FNCB
1490,FNGN
1491,FNHC
1492,FNJN
1493,FNK
1494,FNKO
1495,FNLC
1496,FNSR
1497,FNTE
1498,FNTEU
1499,FNTEW
1500,FNWB
1501,FNX
1502,FNY
1503,FOANC
1504,FOLD
1505,FOMX
1506,FONE
1507,FONR
1508,FORD
1509,FORK
1510,FORM
1511,FORR
1512,FORTY
1513,FOSL
1514,FOX
1515,FOXA
1516,FOXF
1517,FPA
1518,FPAY
1519,FPRX
1520,FPXI
1521,FRAN
1522,FRBA
1523,FRBK
1524,FRED
1525,FRGI
1526,FRME
1527,FRPH
1528,FRPT
1529,FRSH
1530,FRSX
1531,FRTA
1532,FSAC
1533,FSACU
1534,FSACW
1535,FSBC
1536,FSBW
1537,FSCT
1538,FSFG
1539,FSLR
1540,FSNN
1541,FSTR
1542,FSV
1543,FSZ
1544,FTA
1545,FTAG
1546,FTC
1547,FTCS
1548,FTD
1549,FTEK
1550,FTEO
1551,FTFT
1552,FTGC
1553,FTHI
1554,FTLB
1555,FTNT
1556,FTR
1557,FTRI
1558,FTSL
1559,FTSM
1560,FTSV
1561,FTXD
1562,FTXG
1563,FTXH
1564,FTXL
1565,FTXN
1566,FTXO
1567,FTXR
1568,FULT
1569,FUNC
1570,FUND
1571,FUSB
1572,FUV
1573,FV
1574,FVC
1575,FVE
1576,FWONA
1577,FWONK
1578,FWP
1579,FWRD
1580,FYC
1581,FYT
1582,FYX
1583,GABC
1584,GAIA
1585,GAIN
1586,GAINM
1587,GAINN
1588,GAINO
1589,GALT
1590,GARS
1591,GASS
1592,GBCI
1593,GBDC
1594,GBLI
1595,GBLIL
1596,GBLIZ
1597,GBNK
1598,GBT
1599,GCBC
1600,GCVRZ
1601,GDEN
1602,GDS
1603,GEC
1604,GECC
1605,GECCL
1606,GECCM
1607,GEMP
1608,GENC
1609,GENE
1610,GENY
1611,GEOS
1612,GERN
1613,GEVO
1614,GFED
1615,GFN
1616,GFNCP
1617,GFNSL
1618,GGAL
1619,GHDX
1620,GIFI
1621,GIGM
1622,GIII
1623,GILD
1624,GILT
1625,GLAD
1626,GLADN
1627,GLBS
1628,GLBZ
1629,GLDD
1630,GLDI
1631,GLIBA
1632,GLIBP
1633,GLMD
1634,GLNG
1635,GLPG
1636,GLPI
1637,GLRE
1638,GLUU
1639,GLYC
1640,GMLP
1641,GMLPP
1642,GNBC
1643,GNCA
1644,GNMA
1645,GNMK
1646,GNMX
1647,GNPX
1648,GNRX
1649,GNTX
1650,GNTY
1651,GNUS
1652,GOGL
1653,GOGO
1654,GOLD
1655,GOOD
1656,GOODM
1657,GOODO
1658,GOODP
1659,GOOG
1660,GOOGL
1661,GOV
1662,GOVNI
1663,GPAQ
1664,GPAQU
1665,GPAQW
1666,GPIC
1667,GPOR
1668,GPP
1669,GPRE
1670,GPRO
1671,GRBIC
1672,GRBK
1673,GRFS
1674,GRID
1675,GRIF
1676,GRIN
1677,GRMN
1678,GRNQ
1679,GROW
1680,GRPN
1681,GRVY
1682,GSBC
1683,GSHD
1684,GSHT
1685,GSHTU
1686,GSHTW
1687,GSIT
1688,GSKY
1689,GSM
1690,GSUM
1691,GSVC
1692,GT
1693,GTHX
1694,GTIM
1695,GTLS
1696,GTXI
1697,GTYH
1698,GTYHU
1699,GTYHW
1700,GULF
1701,GURE
1702,GVP
1703,GWGH
1704,GWPH
1705,GWRS
1706,GYRO
1707,HA
1708,HABT
1709,HAFC
1710,HAIN
1711,HAIR
1712,HALL
1713,HALO
1714,HAS
1715,HAYN
1716,HBAN
1717,HBANN
1718,HBANO
1719,HBCP
1720,HBIO
